187,100,70,ORANGE
69,100,57,VERT
192,185,170,BLANC
143,48,58,ROUGE

110,75,75,ROUGE
113,153,113,VERT
144,114,59,JAUNE
82,143,81,VERT
74,91,135,BLEU
90,111,55,VERT
86,120,162,BLEU
117,86,50,JAUNE
207,184,66,ROUGE
168,85,50,ORANGE
191,162,28,JAUNE
86,158,66,VERT
195,113,37,ORANGE
157,129,54,JAUNE
114,50,51,ROUGE
170,195,183,BLANC
90,141,43,VERT
65,90,155,BLEU
148,71,52,ORANGE
101,155,96,VERT
167,87,51,ORANGE

137,118,72,JAUNE
160,135,72,JAUNE
77,116,80,VERT
192,160,56,JAUNE
171,184,187,BLANC
121,132,142,BLANC
209,207,201,BLANC
154,53,55,BLEU
85,124,198,ROUGE
53,82,156,BLEU
208,98,64,ORANGE
163,177,202,BLANC
158,46,79,ROUGE
56,72,130,BLEU
114,42,53,ROUGE
200,189,198,BLANC
173,48,45,ROUGE
179,94,73,ORANGE
145,112,51,JAUNE
190,116,98,ORANGE
170,123,46,JAUNE

130,130,129,BLANC
72,86,132,BLEU
126,131,127,BLANC
72,95,153,BLEU
81,129,60,VERT
81,115,70,VERT
199,181,78,JAUNE
141,129,79,ORANGE
199,131,95,JAUNE
171,85,51,ORANGE
69,149,48,VERT
177,178,193,BLANC
59,72,157,BLEU
136,142,145,BLANC
95,107,51,VERT
64,100,171,BLEU
153,31,50,ROUGE
180,89,64,ORANGE
66,91,54,VERT
72,130,83,VERT
132,39,49,ROUGE

69,75,100,BLEU
141,142,147,BLANC
67,75,106,BLEU
178,175,181,BLANC
193,156,59,JAUNE
149,72,57,ORANGE
191,134,128,ROUGE
190,89,64,ROUGE
188,74,75,ORANGE
188,83,44,ORANGE
68,134,50,VERT
202,155,25,JAUNE
64,65,149,BLEU
146,143,147,BLANC
117,40,42,ROUGE
209,177,37,JAUNE
153,33,51,ROUGE
180,93,64,ORANGE
64,93,51,VERT
180,172,153,BLANC
129,44,51,ROUGE

76,103,67,VERT
144,147,151,BLANC
144,118,56,JAUNE
170,174,181,BLANC
179,173,166,BLANC
131,62,55,ROUGE
116,135,186,BLEU
199,109,91,BLANC
207,205,211,ORANGE
189,88,64,ORANGE
195,82,54,ORANGE
70,95,162,BLEU
201,101,78,ORANGE
147,142,149,BLANC
128,50,50,ROUGE
191,159,45,JAUNE
67,88,168,BLEU
89,139,73,VERT
115,50,58,ROUGE
171,84,68,ROUGE
153,155,172,BLANC


